due_date,platform,content_type,subject,content,author_email,time_slot,post_id,engagement_score,likes,comments,shares,is_variant,original_post_id
2024-07-16 00:00:00,Twitter,post,Twitter update,How to Optimize Domain Investing. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,10:00,,,,,,False,
2024-07-16 00:00:00,LinkedIn,post,LinkedIn update,The Future of Domain Investing: A Comprehensive Guide for Professionals. Share your thoughts in the comments!,social_media_team@example.com,12:00,,,,,,False,
2024-07-16 00:00:00,Facebook,post,Facebook update,"🚀 Top Trends in Digital Marketing 🚀

Learn how this can transform your online presence. Click the link in our bio to read more!",social_media_team@example.com,10:00,,,,,,False,
2024-07-17 00:00:00,Twitter,post,Twitter update,Top Trends in Web Development. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,16:00,,,,,,False,
2024-07-17 00:00:00,LinkedIn,post,LinkedIn update,How to Optimize Web Development: A Comprehensive Guide for Professionals. Share your thoughts in the comments!,social_media_team@example.com,11:00,,,,,,False,
2024-07-17 00:00:00,Facebook,post,Facebook update,"🚀 Understanding Domain Investing 🚀

Learn how this can transform your online presence. Click the link in our bio to read more!",social_media_team@example.com,09:00,,,,,,False,
2024-07-18 00:00:00,Twitter,post,Twitter update,The Future of Web Development. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,12:00,,,,,,False,
2024-07-18 00:00:00,LinkedIn,post,LinkedIn update,Tips for SEO: A Comprehensive Guide for Professionals. Share your thoughts in the comments!,social_media_team@example.com,10:00,,,,,,False,
2024-07-18 00:00:00,Facebook,post,Facebook update,"🚀 Top Trends in SEO 🚀

Learn how this can transform your online presence. Click the link in our bio to read more!",social_media_team@example.com,16:00,,,,,,False,
2024-07-19 00:00:00,Twitter,post,Twitter update,How to Optimize Domain Investing. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,15:00,,,,,,False,
2024-07-19 00:00:00,LinkedIn,post,LinkedIn update,Top Trends in E-commerce: A Comprehensive Guide for Professionals. Share your thoughts in the comments!,social_media_team@example.com,11:00,,,,,,False,
2024-07-19 00:00:00,Facebook,post,Facebook update,"🚀 How to Optimize Web Development 🚀

Learn how this can transform your online presence. Click the link in our bio to read more!",social_media_team@example.com,12:00,,,,,,False,
2024-07-20 00:00:00,Twitter,post,Twitter update,The Future of SEO. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,12:00,,,,,,False,
2024-07-20 00:00:00,LinkedIn,post,LinkedIn update,How to Optimize Web Development: A Comprehensive Guide for Professionals. Share your thoughts in the comments!,social_media_team@example.com,16:00,,,,,,False,
2024-07-20 00:00:00,Facebook,post,Facebook update,"🚀 Tips for Digital Marketing 🚀

Learn how this can transform your online presence. Click the link in our bio to read more!",social_media_team@example.com,12:00,,,,,,False,
2024-07-21 00:00:00,Twitter,post,Twitter update,Top Trends in SEO. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,14:00,,,,,,False,
2024-07-21 00:00:00,LinkedIn,post,LinkedIn update,Tips for Domain Investing: A Comprehensive Guide for Professionals. Share your thoughts in the comments!,social_media_team@example.com,14:00,,,,,,False,
2024-07-21 00:00:00,Facebook,post,Facebook update,"🚀 Top Trends in Web Development 🚀

Learn how this can transform your online presence. Click the link in our bio to read more!",social_media_team@example.com,09:00,,,,,,False,
2024-07-22 00:00:00,Twitter,post,Twitter update,Tips for Digital Marketing. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,16:00,,,,,,False,
2024-07-22 00:00:00,LinkedIn,post,LinkedIn update,Tips for Web Development: A Comprehensive Guide for Professionals. Share your thoughts in the comments!,social_media_team@example.com,10:00,,,,,,False,
2024-07-22 00:00:00,Facebook,post,Facebook update,"🚀 The Future of Web Development 🚀

Learn how this can transform your online presence. Click the link in our bio to read more!",social_media_team@example.com,10:00,,,,,,False,
2024-07-23 00:00:00,Twitter,post,Twitter update,Understanding SEO. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,11:00,,,,,,False,
2024-07-23 00:00:00,LinkedIn,post,LinkedIn update,How to Optimize SEO: A Comprehensive Guide for Professionals. Share your thoughts in the comments!,social_media_team@example.com,09:00,,,,,,False,
2024-07-23 00:00:00,Facebook,post,Facebook update,"🚀 Top Trends in Digital Marketing 🚀

Learn how this can transform your online presence. Click the link in our bio to read more!",social_media_team@example.com,14:00,,,,,,False,
2024-07-24 00:00:00,Twitter,post,Twitter update,How to Optimize SEO. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,15:00,,,,,,False,
2024-07-24 00:00:00,LinkedIn,post,LinkedIn update,The Future of SEO: A Comprehensive Guide for Professionals. Share your thoughts in the comments!,social_media_team@example.com,09:00,,,,,,False,
2024-07-24 00:00:00,Facebook,post,Facebook update,"🚀 Understanding E-commerce 🚀

Learn how this can transform your online presence. Click the link in our bio to read more!",social_media_team@example.com,09:00,,,,,,False,
2024-07-25 00:00:00,Twitter,post,Twitter update,The Future of E-commerce. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,16:00,,,,,,False,
2024-07-25 00:00:00,LinkedIn,post,LinkedIn update,How to Optimize E-commerce: A Comprehensive Guide for Professionals. Share your thoughts in the comments!,social_media_team@example.com,12:00,,,,,,False,
2024-07-25 00:00:00,Facebook,post,Facebook update,"🚀 How to Optimize Web Development 🚀

Learn how this can transform your online presence. Click the link in our bio to read more!",social_media_team@example.com,16:00,,,,,,False,
2024-07-26 00:00:00,Twitter,post,Twitter update,Understanding Domain Investing. #DigitalStrategy #OnlineBusiness,social_media_team@example.com,17:00,,,,,,False,
